"OrganismRowID"	"OrganismCodeMaster"	"CommonNameMaster"	"OrganismCodeSTN"	"FieldNameSTN"	"OrganismCodeMWT"	"FieldNameMWT"	"OrganismSymbol"	"Active"	"CommonName"	"Phylum"	"Class"	"Order"	"Family"	"Genus"	"Species"
199	2110	"walleye surfperch"	114		43	"WALSPRCH"		1	"Walleye Surfperch"	"NA"	"NA"	"NA"	"Embiotocidae"	"Hyperprosopon"	"ellipticum"
200	7147	"warmouth"	136		54	"WARMOUTH"		1	"Warmouth"	"NA"	"NA"	"NA"	"Centrarchidae"	"Lepomis"	"gulosus"
201	23	"western brook lamprey"						1							
202	7124	"western mosquitofish"	31	"MOSQUITO"	70	"MOSQUITO"	"GAM"	1	"Mosquitofish"	"NA"	"NA"	"NA"	"Poeciliidae"	"Gambusia"	"affinis"
203	7103	"white catfish"	8	"WHTCATFS"	5	"WHITECAT"		1	"White Catfish"	"NA"	"NA"	"NA"	"Ictaluridae"	"Ameiurus"	"catus"
204	7148	"white crappie"	40	"WHTCRAPP"	7	"WHTCRAPP"	"WC"	1	"White Crappie"	"NA"	"NA"	"NA"	"Centrarchidae"	"Pomoxis"	"annularis"
205	2509	"white croaker"	51	"WHTCROAK"	41	"WHTCROAK"	"WCR"	1	"White Croaker"	"NA"	"NA"	"NA"	"Sciaenidae"	"Genyonemus"	"lineatus"
206	2504	"white seabass"			99	"WSEABASS"		1							
207	2116	"white seaperch"	131		90	"WHTSPRCH"		1	"White Surfperch"	"NA"	"NA"	"NA"	"Embiotocidae"	"Phanerodon"	"furcatus"
208	1502	"white sturgeon"	22	"WHTSTURG"	37	"WHTSTURG"	"WST"	1	"White Sturgeon"	"NA"	"NA"	"NA"	"Acipenseridae"	"Acipenser"	"transmontanus"
209	1201	"whitebait smelt"	113		28	"WBATSMLT"		1	"Whitebait Smelt"	"NA"	"NA"	"NA"	"Osmeridae"	"Allosmerus"	"elongatus"
